NamesUnique (publd edtn)	CountNames
Hannah Allen	1
Hannah Andrews	2
Hannah Bissel	1
Hannah Burrows	4
Hannah Busby	1
Hannah Buzby	17
Hannah Cathril	2
Hannah Clement	1
Hannah Clements	2
Hannah Drinker	1
Hannah Dudley	1
Hannah Evans	1
Hannah Fish	1
Hannah Forster	1
Hannah Foster	59
Hannah French	11
Hannah French Jr	1
Hannah Frinch	1
Hannah Gawsling	1
Hannah Griscom	2
Hannah Haines	2
Hannah Hay	1
Hannah Hunt	3
Hannah Jones	1
Hannah Kay	1
Hannah Lads	1
Hannah Langdale	2
Hannah Lindley	2
Hannah Lippincott	6
Hannah Lord	1
Hannah Moore	2
Hannah Prickit	1
Hannah Reeve	34
Hannah Reeves	7
Hannah Roberts	2
Hannah Shute	1
Hannah Smith	7
Hannah Stites	1
Hannah Stokes	5
Hannah Thorington	2
Hannah Thornton	5
Hannah Tripp	1
Hannah Warrington	5
Hannah Wilson	4
Hannah Yarnal	3
Hannah Yarnall	9
Hannay Yarnal	1
Hendy Post	1
Henry Clark	1
Henry Haines	1
Henry Hull	7
Henry Lane	1
Henry McClouds	1
Henry Shin	1
Henry Tuke	1
Henry Warington Jr	1
Henry Warrington	16
Henry Warrington Jr	1
Henry Warrington Senr	1
Henry Wood	9
Henry Woods	1
Henry] Scougal	4
Hepsibah Matlack	1
Hester Davis	1
Hester Hooton	1
Hetty Roberts	1
Heze Bates	1
Hezekiah Garwood	1
Hezekiah Joy	1
Hezekiah Stokes	1
Hichman Haines	3
Hinch Bispham	1
Hinchman Bispham	2
Hinchman Hain	1
Hinchman Haine	1
Hinchman Haines	39
Hinchman Hains	1
Hiram Casterline	1
Hiram Castertine	1
Hope Borton	1
Hope French	4
Hope Ingle	1
Hope Stokes	5
Horton Howard	6
Hudson Middleton	1
Hugh Cowperthwait	3
Hugh Cowperthwaite	13
Hugh Cowperthwaites	1
Hugh Cowperthwaits	1
Hugh David	1
Hugh Davis	1
Hugh Grotius	1
Hugh Hollinshead	6
Hugh Judge	1
Hugh Sharp	6
Huldah Hoag	2
Humphrey Owen	1
Humphrey Owin	1
Humphrey Owins[	1
Humphrey Smith	6
Humphry Owin	1
Hunch Chubb	1
Huson Langstoth	1
Huson Langstroth	3
Huson Lanstroth	1
I. Burros	1
I. Dudley	1
I. Evans	1
I. Ha	1
I. Hinch	1
I. It	1
I. Jackson	1
I. Kain	1
I. Lidore	1
I. Lippincott	2
I. Peacock	1
I. Rowland	1
I. Thorinton	1
I. Thorn	1
I. Warrington	2
I. Wor	1
I. Wortington	1
I. Yet	1
I. Zane	4
I[saac] Frish	1
I[saac] Snowdon	1
Isa Burros	1
Isaac Andrews	51
Isaac Andrews Jr	1
Isaac Armstrong	2
Isaac Ballinger	1
Isaac Barton	1
Isaac Basit	1
Isaac Bishop	1
Isaac Borton	22
Isaac Bunting	1
Isaac Burrough	1
Isaac Burroughs	1
Isaac Burrous	2
Isaac Busby	2
Isaac Buzby	2
Isaac C. Jones	1
Isaac Carr	1
Isaac Clerk	2
Isaac Coates	1
Isaac Coats	2
Isaac Collin	1
Isaac Collins	2
Isaac Cooper	4
Isaac Coopers	1
Isaac Cots	1
Isaac Dudley	3
Isaac Ellis	4
Isaac Evans	21
Isaac Evans Jr	1
Isaac Everat	1
Isaac Everett	2
Isaac Finch	1
Isaac Fishs	1
Isaac Gloveyer	1
Isaac Griffith	1
Isaac Haines	6
Isaac Hammer	3
Isaac Hays	1
Isaac Henkole	1
Isaac Horner	5
Isaac Huch	1
Isaac Humphries	1
Isaac Hutah	1
Isaac Hutch	1
Isaac Hutchin	1
Isaac Jenkins	1
Isaac Kay	1
Isaac Kersey	1
Isaac Lippincott	9
Isaac Martin	3
Isaac Mason	1
Isaac Morgan	1
Isaac Parrish	1
Isaac Peacock	2
Isaac Peacocks	1
Isaac Peacok	1
Isaac Pederrick	1
Isaac Penington	4
Isaac Pennington	2
Isaac Pennock	1
Isaac Piercal	1
Isaac Shoemaker	1
Isaac Smart	1
Isaac Snowden	3
Isaac Stiles	4
Isaac Stite	1
Isaac Strattan	1
Isaac Thompson	1
Isaac Thorn	3
Isaac Troth	2
Isaac Wood	1
Isaac Zane	30
Isaac] Watts	2
Isacar Meeks	2
Isaiah Darnel	1
Isaiah Hackney	1
Isaiah Haines	2
Isaiah Hunt	1
Ish Evans	1
Israel Coats	1
Israel Garwood	4
Israel Hulling	1
J. Allinson	1
J. Andrews	1
J. Borton	5
J. Burroughs	1
J. Busby	2
J. Buzby	4
J. Cattle	1
J. Coles	2
J. Collins	3
J. Cowp	1
J. Cowperthwaite	1
J. Cox	3
J. Dudley	1
J. Eldrige	1
J. Eliot	1
J. Ev	2
J. Evans	5
J. Fish	1
J. French	1
J. Gardiner	1
J. Garma	1
J. Hack	1
J. Hackney	1
J. Hain	3
J. Haines	1
J. Hans	1
J. Harvey	2
J. Hildyard	1
J. Hollinshead	5
J. James	1
J. Justice	2
J. Kain	1
J. Li	1
J. Linch	1
J. Lindly	1
J. Lippincott	9
J. Lishman	1
J. Lloyd	1
J. Mason	1
J. Matlack	1
J. Mich Linch	1
J. Natt	1
J. Parker	1
J. Parrish	1
J. Phillips	1
J. Potts	2
J. Reeves	2
J. Register	1
J. Roberts	4
J. Roger	1
J. Rogers	4
J. Sa	1
J. Simpson	2
J. Sleeper	1
J. Stansberry	1
J. Stiles	4
J. Stitles	1
J. Stokes	1
J. Stone	2
J. Storer	1
J. Thorington	3
J. Thorinton	1
J. Thorn	1
J. Thornton	1
J. Though	1
J. Walthoe	1
J. Warrington	11
J. Warrock	1
J. Waton	1
J. Watson	1
J. Whiteal	1
J. Whiteals	1
J. Wilkins	2
J. Woolman	1
J[ames] Thornton	1
J[ohn] L[ippincott]	2
J[oshua] E[vans]	1
Ja Evans	1
Ja[me]s Shileals	1
Jabez Buzby	1
Jac Holbirsh	1
Jacob Andrews	2
Jacob Austin	1
Jacob Bacer	1
Jacob Ballinger	1
Jacob Brown	1
Jacob Burr	1
Jacob Clements	1
Jacob Davis	5
Jacob Evans	9
Jacob Fowler	3
Jacob French	1
Jacob Haines	6
Jacob Hauling	1
Jacob Hawlin	1
Jacob Hay	1
Jacob Holinshad	1
Jacob Hollinhead	1
